repetition,round,p1,p1_move,p1_pay,p2,p2_move,p2_pay
1,1,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,2,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,3,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,4,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,5,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,6,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,7,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,8,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,9,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,10,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,11,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,12,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,13,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,14,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,15,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,16,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,17,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,18,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,19,Tit‑for‑Tat,C,3,Grim Trigger,C,3
1,20,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,1,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,2,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,3,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,4,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,5,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,6,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,7,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,8,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,9,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,10,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,11,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,12,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,13,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,14,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,15,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,16,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,17,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,18,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,19,Tit‑for‑Tat,C,3,Grim Trigger,C,3
2,20,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,1,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,2,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,3,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,4,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,5,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,6,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,7,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,8,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,9,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,10,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,11,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,12,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,13,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,14,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,15,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,16,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,17,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,18,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,19,Tit‑for‑Tat,C,3,Grim Trigger,C,3
3,20,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,1,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,2,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,3,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,4,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,5,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,6,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,7,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,8,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,9,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,10,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,11,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,12,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,13,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,14,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,15,Tit‑for‑Tat,C,3,Grim Trigger,C,3
4,16,Tit‑for‑Tat,C,3,Grim Trigger,C,3
