strategy,mean_payoff,coop_rate,mean_diff,std_payoff
o3-LLM,2.797727272727273,0.9309090909090909,-0.1431818181818182,0.8305744152044384
DeepSeek_R1-LLM,2.7790909090909093,0.8918181818181818,-0.09090909090909091,0.9990077345846596
Tit‑for‑Tat,2.7586363636363638,0.8636363636363636,-0.04772727272727273,1.05527883486917
gpt4o-LLM,2.7495454545454545,0.865909090909091,-0.05227272727272727,1.004989721746483
grok3_Think-LLM,2.745,0.8836363636363637,-0.10454545454545454,0.97628659529039
gemini-LLM,2.7154545454545453,0.8518181818181818,-0.06136363636363636,1.0297693851363716
Grim Trigger,2.6563636363636363,0.8095454545454546,0.029545454545454545,0.8756757694759767
Gemini_2.5Pro-LLM,2.6354545454545453,0.7809090909090909,-0.1,1.4584801725002705
grok3-LLM,2.6295454545454544,0.7927272727272727,0.031818181818181815,0.9273470268269955
claude3-LLM,2.458181818181818,0.6409090909090909,0.0,1.652667820965294
deepseek-LLM,2.3913636363636366,0.5886363636363636,0.10454545454545454,1.565318168363445
claude3_opus-LLM,1.7663636363636364,0.18863636363636363,0.4340909090909091,1.4494531607653975
