repetition,round,p1,p1_move,p1_pay,p2,p2_move,p2_pay
1,1,gpt4o,C,3,grok,C,3
1,2,gpt4o,C,3,grok,C,3
1,3,gpt4o,C,3,grok,C,3
1,4,gpt4o,C,3,grok,C,3
1,5,gpt4o,C,3,grok,C,3
1,6,gpt4o,C,3,grok,C,3
1,7,gpt4o,C,3,grok,C,3
1,8,gpt4o,C,3,grok,C,3
1,9,gpt4o,C,3,grok,C,3
1,10,gpt4o,D,5,grok,C,0
1,11,gpt4o,D,1,grok,D,1
1,12,gpt4o,D,1,grok,D,1
1,13,gpt4o,C,0,grok,D,5
1,14,gpt4o,C,0,grok,D,5
1,15,gpt4o,C,3,grok,C,3
1,16,gpt4o,C,3,grok,C,3
1,17,gpt4o,C,3,grok,C,3
1,18,gpt4o,C,3,grok,C,3
1,19,gpt4o,C,3,grok,C,3
1,20,gpt4o,C,3,grok,C,3
2,1,gpt4o,C,3,grok,C,3
2,2,gpt4o,D,5,grok,C,0
2,3,gpt4o,D,5,grok,C,0
2,4,gpt4o,D,1,grok,D,1
2,5,gpt4o,D,1,grok,D,1
2,6,gpt4o,D,1,grok,D,1
2,7,gpt4o,D,1,grok,D,1
2,8,gpt4o,D,1,grok,D,1
2,9,gpt4o,D,1,grok,D,1
2,10,gpt4o,D,1,grok,D,1
2,11,gpt4o,C,0,grok,D,5
2,12,gpt4o,C,0,grok,D,5
2,13,gpt4o,C,0,grok,D,5
2,14,gpt4o,C,0,grok,D,5
2,15,gpt4o,C,0,grok,D,5
2,16,gpt4o,C,0,grok,D,5
2,17,gpt4o,C,0,grok,D,5
2,18,gpt4o,D,1,grok,D,1
2,19,gpt4o,C,0,grok,D,5
2,20,gpt4o,C,0,grok,D,5
3,1,gpt4o,C,3,grok,C,3
3,2,gpt4o,C,3,grok,C,3
3,3,gpt4o,C,3,grok,C,3
3,4,gpt4o,D,5,grok,C,0
3,5,gpt4o,D,1,grok,D,1
3,6,gpt4o,C,0,grok,D,5
3,7,gpt4o,C,3,grok,C,3
3,8,gpt4o,C,3,grok,C,3
3,9,gpt4o,C,3,grok,C,3
3,10,gpt4o,C,3,grok,C,3
3,11,gpt4o,C,3,grok,C,3
3,12,gpt4o,C,3,grok,C,3
3,13,gpt4o,C,3,grok,C,3
3,14,gpt4o,C,3,grok,C,3
3,15,gpt4o,C,3,grok,C,3
3,16,gpt4o,C,3,grok,C,3
3,17,gpt4o,C,3,grok,C,3
3,18,gpt4o,C,3,grok,C,3
3,19,gpt4o,C,3,grok,C,3
3,20,gpt4o,C,3,grok,C,3
1,1,gpt4o,C,3,gemini,C,3
1,2,gpt4o,C,3,gemini,C,3
1,3,gpt4o,C,3,gemini,C,3
1,4,gpt4o,C,3,gemini,C,3
1,5,gpt4o,C,3,gemini,C,3
1,6,gpt4o,C,3,gemini,C,3
1,7,gpt4o,C,3,gemini,C,3
1,8,gpt4o,C,3,gemini,C,3
1,9,gpt4o,C,3,gemini,C,3
1,10,gpt4o,C,3,gemini,C,3
1,11,gpt4o,C,3,gemini,C,3
