p1,p2,repetition,p1_total,p2_total
DeepSeek_R1-LLM,claude3-LLM,1,54,54
DeepSeek_R1-LLM,claude3-LLM,2,54,59
DeepSeek_R1-LLM,claude3-LLM,3,55,55
DeepSeek_R1-LLM,claude3-LLM,4,52,57
DeepSeek_R1-LLM,claude3-LLM,5,53,58
DeepSeek_R1-LLM,claude3-LLM,6,56,56
DeepSeek_R1-LLM,claude3-LLM,7,54,54
DeepSeek_R1-LLM,claude3-LLM,8,57,62
DeepSeek_R1-LLM,claude3-LLM,9,54,54
DeepSeek_R1-LLM,claude3-LLM,10,54,59
DeepSeek_R1-LLM,claude3_opus-LLM,1,25,30
DeepSeek_R1-LLM,claude3_opus-LLM,2,23,38
DeepSeek_R1-LLM,claude3_opus-LLM,3,28,38
DeepSeek_R1-LLM,claude3_opus-LLM,4,27,42
DeepSeek_R1-LLM,claude3_opus-LLM,5,29,34
DeepSeek_R1-LLM,claude3_opus-LLM,6,28,38
DeepSeek_R1-LLM,claude3_opus-LLM,7,33,43
DeepSeek_R1-LLM,claude3_opus-LLM,8,32,47
DeepSeek_R1-LLM,claude3_opus-LLM,9,27,42
DeepSeek_R1-LLM,claude3_opus-LLM,10,24,34
DeepSeek_R1-LLM,deepseek-LLM,1,54,54
DeepSeek_R1-LLM,deepseek-LLM,2,51,51
DeepSeek_R1-LLM,deepseek-LLM,3,60,60
DeepSeek_R1-LLM,deepseek-LLM,4,57,62
DeepSeek_R1-LLM,deepseek-LLM,5,38,48
DeepSeek_R1-LLM,deepseek-LLM,6,54,54
DeepSeek_R1-LLM,deepseek-LLM,7,60,60
DeepSeek_R1-LLM,deepseek-LLM,8,51,56
DeepSeek_R1-LLM,deepseek-LLM,9,49,59
DeepSeek_R1-LLM,deepseek-LLM,10,51,61
DeepSeek_R1-LLM,gemini-LLM,1,60,60
DeepSeek_R1-LLM,gemini-LLM,2,60,60
DeepSeek_R1-LLM,gemini-LLM,3,60,60
DeepSeek_R1-LLM,gemini-LLM,4,60,60
DeepSeek_R1-LLM,gemini-LLM,5,60,60
DeepSeek_R1-LLM,gemini-LLM,6,60,60
DeepSeek_R1-LLM,gemini-LLM,7,60,60
DeepSeek_R1-LLM,gemini-LLM,8,60,60
DeepSeek_R1-LLM,gemini-LLM,9,60,60
DeepSeek_R1-LLM,gemini-LLM,10,60,60
DeepSeek_R1-LLM,gpt4o-LLM,1,60,60
DeepSeek_R1-LLM,gpt4o-LLM,2,60,60
DeepSeek_R1-LLM,gpt4o-LLM,3,60,60
DeepSeek_R1-LLM,gpt4o-LLM,4,60,60
DeepSeek_R1-LLM,gpt4o-LLM,5,60,60
DeepSeek_R1-LLM,gpt4o-LLM,6,60,60
DeepSeek_R1-LLM,gpt4o-LLM,7,60,60
DeepSeek_R1-LLM,gpt4o-LLM,8,60,60
DeepSeek_R1-LLM,gpt4o-LLM,9,60,60
DeepSeek_R1-LLM,gpt4o-LLM,10,60,60
DeepSeek_R1-LLM,grok3-LLM,1,60,60
DeepSeek_R1-LLM,grok3-LLM,2,60,60
DeepSeek_R1-LLM,grok3-LLM,3,60,60
DeepSeek_R1-LLM,grok3-LLM,4,60,60
DeepSeek_R1-LLM,grok3-LLM,5,60,60
DeepSeek_R1-LLM,grok3-LLM,6,60,60
DeepSeek_R1-LLM,grok3-LLM,7,60,60
DeepSeek_R1-LLM,grok3-LLM,8,60,60
